name,resource_type,from_node,to_node,distance_m,base_time_sec
LSA_CA01_CA02,LSA,CA-01,CA-02,200,100.0
LSA_CA02_CA01,LSA,CA-02,CA-01,200,100.0
LSA_CA02_CA03,LSA,CA-02,CA-03,200,100.0
LSA_CA03_CA02,LSA,CA-03,CA-02,200,100.0
LSA_CA03_CA04,LSA,CA-03,CA-04,200,100.0
LSA_CA04_CA03,LSA,CA-04,CA-03,200,100.0
LSA_CA04_CA05,LSA,CA-04,CA-05,200,100.0
LSA_CA05_CA04,LSA,CA-05,CA-04,200,100.0
LSA_CA05_CA06,LSA,CA-05,CA-06,200,100.0
LSA_CA06_CA05,LSA,CA-06,CA-05,200,100.0
LSA_CA06_CA07,LSA,CA-06,CA-07,200,100.0
LSA_CA07_CA06,LSA,CA-07,CA-06,200,100.0
LSA_CA07_CA08,LSA,CA-07,CA-08,200,100.0
LSA_CA08_CA07,LSA,CA-08,CA-07,200,100.0
LSA_CA09_CA10,LSA,CA-09,CA-10,200,100.0
LSA_CA10_CA09,LSA,CA-10,CA-09,200,100.0
LSA_CA10_CA11,LSA,CA-10,CA-11,200,100.0
LSA_CA11_CA10,LSA,CA-11,CA-10,200,100.0
LSA_CA11_CA12,LSA,CA-11,CA-12,200,100.0
LSA_CA12_CA11,LSA,CA-12,CA-11,200,100.0
LSA_CA12_CA13,LSA,CA-12,CA-13,200,100.0
LSA_CA13_CA12,LSA,CA-13,CA-12,200,100.0
LSA_CA13_CA14,LSA,CA-13,CA-14,200,100.0
LSA_CA14_CA13,LSA,CA-14,CA-13,200,100.0
LSA_CA14_CA15,LSA,CA-14,CA-15,200,100.0
LSA_CA15_CA14,LSA,CA-15,CA-14,200,100.0
LSA_CA15_CA16,LSA,CA-15,CA-16,200,100.0
LSA_CA16_CA15,LSA,CA-16,CA-15,200,100.0
LSA_CA17_CA18,LSA,CA-17,CA-18,200,100.0
LSA_CA18_CA17,LSA,CA-18,CA-17,200,100.0
LSA_CA18_CA19,LSA,CA-18,CA-19,200,100.0
LSA_CA19_CA18,LSA,CA-19,CA-18,200,100.0
LSA_CA19_CA20,LSA,CA-19,CA-20,200,100.0
LSA_CA20_CA19,LSA,CA-20,CA-19,200,100.0
LSA_CA20_CA21,LSA,CA-20,CA-21,200,100.0
LSA_CA21_CA20,LSA,CA-21,CA-20,200,100.0
LSA_CA21_CA22,LSA,CA-21,CA-22,200,100.0
LSA_CA22_CA21,LSA,CA-22,CA-21,200,100.0
LSA_CA22_CA23,LSA,CA-22,CA-23,200,100.0
LSA_CA23_CA22,LSA,CA-23,CA-22,200,100.0
LSA_CA23_CA24,LSA,CA-23,CA-24,200,100.0
LSA_CA24_CA23,LSA,CA-24,CA-23,200,100.0
LSA_CA25_CA26,LSA,CA-25,CA-26,200,100.0
LSA_CA26_CA25,LSA,CA-26,CA-25,200,100.0
LSA_CA26_CA27,LSA,CA-26,CA-27,200,100.0
LSA_CA27_CA26,LSA,CA-27,CA-26,200,100.0
LSA_CA27_CA28,LSA,CA-27,CA-28,200,100.0
LSA_CA28_CA27,LSA,CA-28,CA-27,200,100.0
LSA_CA28_CA29,LSA,CA-28,CA-29,200,100.0
LSA_CA29_CA28,LSA,CA-29,CA-28,200,100.0
LSA_CA29_CA30,LSA,CA-29,CA-30,200,100.0
LSA_CA30_CA29,LSA,CA-30,CA-29,200,100.0
LSA_CA30_CA31,LSA,CA-30,CA-31,200,100.0
LSA_CA31_CA30,LSA,CA-31,CA-30,200,100.0
LSA_CA31_CA32,LSA,CA-31,CA-32,200,100.0
LSA_CA32_CA31,LSA,CA-32,CA-31,200,100.0
LSA_CA33_CA34,LSA,CA-33,CA-34,200,100.0
LSA_CA34_CA33,LSA,CA-34,CA-33,200,100.0
LSA_CA34_CA35,LSA,CA-34,CA-35,200,100.0
LSA_CA35_CA34,LSA,CA-35,CA-34,200,100.0
LSA_CA35_CA36,LSA,CA-35,CA-36,200,100.0
