name,resource_type,pos_x,pos_y
CA-01,CA,100,100
CA-02,CA,300,100
CA-03,CA,500,100
CA-04,CA,700,100
CA-05,CA,900,100
CA-06,CA,1100,100
CA-07,CA,1300,100
CA-08,CA,1500,100
CA-09,CA,100,300
CA-10,CA,300,300
CA-11,CA,500,300
CA-12,CA,700,300
CA-13,CA,900,300
CA-14,CA,1100,300
CA-15,CA,1300,300
CA-16,CA,1500,300
CA-17,CA,100,500
CA-18,CA,300,500
CA-19,CA,500,500
CA-20,CA,700,500
CA-21,CA,900,500
CA-22,CA,1100,500
CA-23,CA,1300,500
CA-24,CA,1500,500
CA-25,CA,100,700
CA-26,CA,300,700
CA-27,CA,500,700
CA-28,CA,700,700
CA-29,CA,900,700
CA-30,CA,1100,700
CA-31,CA,1300,700
CA-32,CA,1500,700
CA-33,CA,100,900
CA-34,CA,300,900
CA-35,CA,500,900
CA-36,CA,700,900
CA-37,CA,900,900
CA-38,CA,1100,900
CA-39,CA,1300,900
CA-40,CA,1500,900
CA-41,CA,100,1100
CA-42,CA,300,1100
CA-43,CA,500,1100
CA-44,CA,700,1100
CA-45,CA,900,1100
CA-46,CA,1100,1100
CA-47,CA,1300,1100
CA-48,CA,1500,1100
DEPOT-01,DEPOT,50,50
DEPOT-02,DEPOT,1550,50
DEPOT-03,DEPOT,50,700
DEPOT-04,DEPOT,1550,700
STATION-A,STATION,100,1150
STATION-B,STATION,300,1150
STATION-C,STATION,500,1150
STATION-D,STATION,700,1150
STATION-E,STATION,900,1150
STATION-F,STATION,1100,1150
STATION-G,STATION,1300,1150
STATION-H,STATION,1500,1150
