name,resource_type,from_node,to_node,distance_m,base_time_sec
LSA_D01_CA01,LSA,DEPOT-01,CA-01,70,35
LSA_CA01_D01,LSA,CA-01,DEPOT-01,70,35
LSA_CA01_CA02,LSA,CA-01,CA-02,200,100
LSA_CA02_CA01,LSA,CA-02,CA-01,200,100
LSA_CA02_CA03,LSA,CA-02,CA-03,200,100
LSA_CA03_CA02,LSA,CA-03,CA-02,200,100
LSA_CA03_D02,LSA,CA-03,DEPOT-02,70,35
LSA_D02_CA03,LSA,DEPOT-02,CA-03,70,35
LSA_CA01_CA04,LSA,CA-01,CA-04,200,100
LSA_CA04_CA01,LSA,CA-04,CA-01,200,100
LSA_CA02_CA05,LSA,CA-02,CA-05,200,100
LSA_CA05_CA02,LSA,CA-05,CA-02,200,100
LSA_CA03_CA06,LSA,CA-03,CA-06,200,100
LSA_CA06_CA03,LSA,CA-06,CA-03,200,100
LSA_CA04_CA05,LSA,CA-04,CA-05,200,100
LSA_CA05_CA04,LSA,CA-05,CA-04,200,100
LSA_CA05_CA06,LSA,CA-05,CA-06,200,100
LSA_CA06_CA05,LSA,CA-06,CA-05,200,100
LSA_CA04_SA,LSA,CA-04,STATION-A,70,35
LSA_SA_CA04,LSA,STATION-A,CA-04,70,35
LSA_CA05_SB,LSA,CA-05,STATION-B,70,35
LSA_SB_CA05,LSA,STATION-B,CA-05,70,35
LSA_CA06_SC,LSA,CA-06,STATION-C,70,35
LSA_SC_CA06,LSA,STATION-C,CA-06,70,35
